,Scale,Mean,Std,Mean - Std,Mean + Std,Mean/Area,Std/Area,(Mean - Std)/Area,(Mean + Std)/Area
0,Anhui,9.882468212986373,2.2133010649377853,7.6691671480485875,12.095769277924159,7.02315367052074e-05,1.5729221853462394e-05,5.4502314851745005e-05,8.59607585586698e-05
1,Beijing,12.085100219961417,2.4882635660655072,9.59683665389591,14.573363786026924,0.0007406061044398234,0.00015248720763105114,0.0005881188968087723,0.0008930933120708745
2,Chongqing,14.30453758979313,2.4855088878281046,11.819028701965024,16.790046477621235,0.00017626051324928752,3.062644070136512e-05,0.0001456340725479224,0.00020688695395065264
3,Fujian,12.214206033898332,2.576396640613084,9.637809393285249,14.790602674511415,0.00010009168740876308,2.111278346521616e-05,7.897890394354692e-05,0.00012120447087397924
4,Gansu,33.916720560956534,3.8109319022426136,30.10578865871392,37.72765246319915,8.401658572935269e-05,9.440225398503616e-06,7.457636033084907e-05,9.345681112785631e-05
5,Guangdong,13.203695974989333,4.182429024794405,9.021266950194928,17.38612499978374,7.512730320238697e-05,2.3797474136286052e-05,5.1329829066100924e-05,9.892477733867302e-05
6,Guangxi,14.234494547881335,3.550253610502523,10.684240937378812,17.784748158383856,6.063641080258634e-05,1.5123447879070481e-05,4.551296292351586e-05,7.575985868165682e-05
7,Guizhou,14.990193129185656,3.5580197127069897,11.432173416478665,18.548212841892646,8.54680682790869e-05,2.0286401190649517e-05,6.518166708843737e-05,0.00010575446946973642
8,Hainan,7.35900953653315,1.2383888441574271,6.120620692375723,8.597398380690578,0.00021736362775322038,3.657838604486815e-05,0.0001807852417083522,0.00025394201379808854
9,Hebei,20.775006430167075,4.433246348998088,16.341760081168985,25.208252779165164,0.0001113458602760381,2.3760456113650758e-05,8.758540416238734e-05,0.00013510631638968885
10,Heilongjiang,19.113482798347288,5.395575078022893,13.717907720324394,24.509057876370182,4.255561511666453e-05,1.2013091427443231e-05,3.0542523689221294e-05,5.456870654410776e-05
11,Henan,13.543253580352797,2.6789291436690092,10.864324436683788,16.222182724021806,8.218487251955281e-05,1.625661432499125e-05,6.592825819456155e-05,9.844148684454406e-05
12,Hong Kong,2.0533154961694815,0.8377009599411586,1.215614536228323,2.89101645611064,0.0019588909242902164,0.0007991781149848646,0.0011597128093053517,0.002758069039275081
13,Hubei,14.227429484093138,2.483127599229236,11.744301884863901,16.710557083322374,7.640835737796872e-05,1.3335627579748892e-05,6.307272979821983e-05,8.974398495771761e-05
14,Hunan,12.724515028283566,2.8155638994778105,9.908951128805755,15.540078927761376,6.017415098144902e-05,1.3314783849011577e-05,4.685936713243744e-05,7.34889348304606e-05
15,Inner Mongolia,26.545957237583515,5.767611752184915,20.7783454853986,32.31356898976843,2.3176478763488503e-05,5.035528765988801e-06,1.8140949997499702e-05,2.8212007529477303e-05
16,Jiangsu,9.497822359431437,2.554324929315357,6.94349743011608,12.052147288746793,9.48352179898954e-05,2.5504789658241948e-05,6.933042833165346e-05,0.00012034000764813735
17,Jiangxi,11.12586482071887,2.632398414200347,8.493466406518523,13.758263234919218,6.682420879463236e-05,1.5810720703131576e-05,5.101348809150079e-05,8.263492949776394e-05
18,Jilin,16.09853783461122,3.086920504808995,13.011617329802226,19.185458339420215,8.408730845910694e-05,1.6123876549741616e-05,6.796343190936533e-05,0.00010021118500884855
19,Liaoning,15.323589366163677,5.3292476914932525,9.994341674670425,20.65283705765693,0.00010584841323155723,3.68120287214224e-05,6.903638451013483e-05,0.00014266044195297963
20,Ningxia,12.529022351725489,2.3496108227148413,10.179411529010647,14.878633174440331,0.00024855678449071846,4.661271203001427e-05,0.0002019440724607042,0.00029516949652073275
21,Qinghai,31.763542034718807,4.424109673510989,27.33943236120782,36.187651708229794,4.436614217989475e-05,6.179432966886808e-06,3.8186709213007945e-05,5.054557514678156e-05
22,Shaanxi,17.098516145542174,3.3851498614953313,13.713366284046842,20.483666007037506,8.312763623072227e-05,1.6457539582826816e-05,6.667009664789545e-05,9.958517581354909e-05
23,Shandong,11.242824303216441,3.1903737690458063,8.052450534170635,14.433198072262247,7.301612561720961e-05,2.071976983753585e-05,5.2296355779673756e-05,9.373589545474546e-05
24,Shanghai,4.784857652412111,1.7206971341135864,3.0641605182985243,6.505554786525697,0.0007695238169647483,0.00027673078755349913,0.0004927930294112491,0.0010462546045182475
25,Shanxi,18.634509815590363,4.065229616504278,14.569280199086084,22.699739432094642,0.00011868685972265146,2.5892247341582436e-05,9.279461238106902e-05,0.0001445791070642339
26,Sichuan,37.018857281571826,6.99477275765908,30.024084523912748,44.013630039230904,7.689279276362215e-05,1.4529017143677546e-05,6.23637756199446e-05,9.142180990729969e-05
27,Taiwan,15.361222098207834,1.471585396748135,13.8896367014597,16.83280749495597,0.00042881236630433505,4.107967531255818e-05,0.0003877326909917769,0.0004698920416168932
28,Tianjin,7.105045856624308,2.1385197667448934,4.966526089879414,9.243565623369202,0.0006103353571630097,0.00018370243513903564,0.0004266329220239741,0.0007940377923020454
29,Xizang,50.19493475294826,7.558779966229724,42.636154786718535,57.75371471917798,4.172405520551826e-05,6.28316291573245e-06,3.544089228978581e-05,4.800721812125071e-05
30,Xinjiang,46.70483369080647,5.457893728428952,41.24693996237752,52.16272741923542,2.8595639400773654e-05,3.3416661320136572e-06,2.5253973268759995e-05,3.193730553278731e-05
31,Yunnan,30.815430403355577,6.5636710510803695,24.251759352275208,37.37910145443595,8.044008475141569e-05,1.7133697265244925e-05,6.330638748617076e-05,9.757378201666062e-05
32,Zhejiang,10.572128934974552,2.148263015245587,8.423865919728964,12.72039195022014,0.00010491060983319239,2.13178995827343e-05,8.359271025045809e-05,0.0001262285094159267
